amount,dataset,date,longitude,latitude
13,CBERS4_AWFI_L4_SR,2016-07-28,-36.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-07-29,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2016-07-31,-35.0,-4.5
5,CBERS4_AWFI_L4_SR,2016-08-02,-65.5,6.5
11,CBERS4_AWFI_L4_SR,2016-08-03,-34.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-08-04,-49.5,1.0
13,CBERS4_AWFI_L4_SR,2016-08-05,-42.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-06,-56.0,6.5
7,CBERS4_AWFI_L4_SR,2016-08-07,-48.5,1.0
12,CBERS4_AWFI_L4_SR,2016-08-08,-41.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-09,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2016-08-10,-48.5,-4.5
14,CBERS4_AWFI_L4_SR,2016-08-11,-40.0,-4.5
1,CBERS4_AWFI_L4_DN,2016-08-12,-61.0,-25.5
8,CBERS4_AWFI_L4_SR,2016-08-12,-54.0,6.5
11,CBERS4_AWFI_L4_SR,2016-08-13,-46.5,1.0
9,CBERS4_AWFI_L4_SR,2016-08-14,-39.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-15,-53.0,6.5
2,CBERS4_AWFI_L4_DN,2016-08-16,-51.5,-25.5
8,CBERS4_AWFI_L4_SR,2016-08-16,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-08-17,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-18,-52.0,6.5
2,CBERS4_AWFI_L4_DN,2016-08-19,-52.0,-31.0
10,CBERS4_AWFI_L4_SR,2016-08-19,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-08-20,-37.0,-4.5
11,CBERS4_AWFI_L4_SR,2016-08-22,-44.5,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-23,-36.0,-4.5
7,CBERS4_AWFI_L4_SR,2016-08-24,-53.5,-9.5
11,CBERS4_AWFI_L4_SR,2016-08-25,-43.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-08-26,-35.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-08-27,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2016-08-28,-42.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-08-29,-34.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-08-30,-49.5,1.0
13,CBERS4_AWFI_L4_SR,2016-08-31,-42.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-09-01,-56.0,6.5
1,CBERS4_AWFI_L4_DN,2016-09-02,-74.5,-4.5
10,CBERS4_AWFI_L4_SR,2016-09-02,-48.5,1.0
1,CBERS4_AWFI_L4_DN,2016-09-03,-68.5,-15.0
11,CBERS4_AWFI_L4_SR,2016-09-03,-41.0,-4.5
4,CBERS4_AWFI_L4_SR,2016-09-04,-61.0,-20.5
3,CBERS4_AWFI_L4_DN,2016-09-05,-52.0,-20.5
8,CBERS4_AWFI_L4_SR,2016-09-05,-48.5,-4.5
1,CBERS4_AWFI_L4_DN,2016-09-06,-42.0,-15.0
13,CBERS4_AWFI_L4_SR,2016-09-06,-40.0,-4.5
1,CBERS4_AWFI_L4_DN,2016-09-07,-61.0,-25.5
8,CBERS4_AWFI_L4_SR,2016-09-07,-54.0,6.5
10,CBERS4_AWFI_L4_SR,2016-09-08,-47.5,-4.5
